calibration distance,calibration LT-1,detector draining LT-1,detector draining height,detector filling LT-1,detector filling height,draining cal dis,draining cal cur,filling cal dis,filling cal cur,initial filling PT5,initial filling LT1,new cal coordi,new cal LT1
25.41094969,21.9569534,3.31822,3.30085,3.02141,3.03532,14.02632007,17.69458548,,,3.18895,3.21555,,
25.91239949,22.40496275,3.31822,3.30085,3.02141,3.03532,14.20734188,17.59778692,,,3.18639,3.21368,,
26.41384928,22.70363565,3.32008,3.30085,3.01954,3.03532,,,,,3.18895,3.21555,,
26.91529908,23.151645,3.31822,3.30085,3.02141,3.03532,,,,,3.18126,3.21555,,
27.41674887,23.59965435,3.31822,3.30085,3.02141,3.03533,,,,,3.18639,3.21555,,
27.91819867,24.0476637,3.31822,3.30085,3.02141,3.03532,,,,,3.1787,3.21555,,
28.41964846,24.49567305,3.32008,3.30085,3.02141,3.03532,,,,,3.18895,3.21368,,
28.92109826,24.9436824,3.32008,3.30085,3.02141,3.03532,,,,,3.18895,3.21368,,
29.42254805,25.39169175,3.31822,3.30085,3.02141,3.03533,,,,,3.18639,3.21368,,
29.92399785,25.69036465,3.32008,3.30086,3.02328,3.03604,,,,,3.1787,3.21368,,
30.42544764,26.138374,3.31822,3.30085,3.02141,3.03605,,,,,3.18895,3.21368,,
30.92689744,26.58638335,3.31822,3.30085,3.02141,3.03605,,,,,3.18895,3.21368,,
31.42834723,27.0343927,3.31822,3.30086,3.02141,3.03605,,,,,3.18895,3.21555,,
31.92979703,27.3330656,3.31822,3.30086,3.02141,3.03605,,,,,3.18382,3.21368,,
32.43124682,27.78107495,3.31822,3.30085,3.02141,3.03605,,,,,3.18126,3.21368,,
32.93269662,28.2290843,3.31822,3.30085,3.02141,3.03605,,,,,3.18639,3.21368,,
33.43414641,28.5277572,3.31822,3.30085,3.02141,3.03605,,,,,3.18126,3.21368,,
33.93559621,28.97576655,3.31822,3.30085,3.02141,3.03676,,,,,3.18126,3.21368,,
